danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
101,0.62,0.755,4,-7.209,1,0.0401,0.0591,0.0086,0.659,0.181,127.972,290625,4,0
102,0.658,0.783,6,-5.4,1,0.0416,0.000363,0.217,0.0831,0.0365,134.002,386500,4,0
103,0.402,0.987,1,-6.104,0,0.0747,0.00677,0.689,0.376,0.108,137.996,212898,4,0
104,0.485,0.925,3,-3.314,0,0.0592,0.0188,0.000198,0.104,0.071,129.988,232682,4,0
105,0.437,0.996,7,-2.805,0,0.0908,0.00145,0.13,0.261,0.126,137.997,200000,4,0
106,0.55,0.923,6,-3.317,1,0.0889,0.0773,0.0607,0.399,0.16,128.028,250000,4,0
107,0.458,0.953,8,-6.5,0,0.0544,0.000178,0.0317,0.265,0.114,139.996,202404,4,0
108,0.6,0.782,4,-5.69,0,0.0398,0.0416,0.00129,0.348,0.131,130.013,195692,4,0
109,0.637,0.838,1,-7.724,0,0.294,0.0572,0.000337,0.0882,0.606,134.962,181333,4,0
110,0.625,0.593,11,-9.828,0,0.0269,0.00029,0.0494,0.0625,0.271,131.003,494656,4,0
111,0.603,0.959,1,-3.574,0,0.0421,0.00852,0.131,0.104,0.262,128.015,230831,4,0
112,0.479,0.855,4,-4.607,1,0.0353,0.0167,3.46e-05,0.0939,0.26,132.02,193750,4,0
113,0.598,0.616,11,-9.404,1,0.0276,0.0982,0.0196,0.232,0.196,137.989,272314,4,0
114,0.472,0.818,1,-5.269,0,0.0413,0.00504,0.105,0.345,0.225,127.875,236367,4,0
115,0.518,0.75,7,-7.396,1,0.0529,0.0299,0.0259,0.348,0.274,131.98,195027,4,0
116,0.649,0.789,5,-4.738,1,0.032,0.0209,4.45e-05,0.354,0.266,127.993,193125,4,0
117,0.444,0.998,0,-5.065,1,0.0696,0.000759,0.637,0.161,0.142,138.025,226957,4,0
118,0.681,0.904,2,-3.727,0,0.0752,0.21,6.83e-06,0.232,0.464,128.028,220180,4,0
119,0.482,0.909,1,-4.091,1,0.0821,0.00149,2.14e-06,0.144,0.11,130.049,222415,4,0
120,0.537,0.789,1,-8.333,1,0.0413,6.31e-05,0.922,0.354,0.328,137.984,431311,4,0
121,0.486,0.969,8,-2.926,1,0.0608,0.0507,8.53e-06,0.1,0.0399,129.982,213000,4,0
122,0.648,0.824,3,-7.427,0,0.0604,0.0187,0.749,0.0305,0.281,128.007,412500,4,0
123,0.52,0.876,1,-7.238,0,0.0417,0.000575,0.0658,0.0786,0.288,133.97,393718,4,0
124,0.544,0.766,1,-7.903,0,0.0402,0.15,0.355,0.071,0.0349,132.008,281365,4,0
125,0.49,0.982,9,-3.24,0,0.0985,0.00233,0.126,0.545,0.17,130.018,244069,4,0
126,0.448,0.963,6,-2.043,0,0.12,0.0816,0.000286,0.313,0.179,127.943,173906,4,0
127,0.477,0.866,9,-3.646,0,0.087,0.0159,0.0407,0.116,0.0386,131.966,284750,4,0
128,0.551,0.697,8,-8.918,0,0.0346,0.000219,0.298,0.0999,0.177,136.01,518284,4,0
129,0.574,0.914,2,-4.601,0,0.0375,0.00447,0.0173,0.0812,0.655,131.968,342618,4,0
130,0.619,0.941,5,-4.112,1,0.0461,0.0152,0.00112,0.0505,0.238,128.02,204375,4,0
131,0.418,0.784,10,-5.393,1,0.0377,0.0128,0.531,0.467,0.165,129.976,204937,4,0
132,0.56,0.681,6,-4.82,1,0.0318,0.00872,1.2e-06,0.386,0.145,128.041,220312,4,0
133,0.56,0.908,8,-6.248,0,0.0488,0.00157,0.159,0.383,0.222,133.008,252632,4,0
134,0.554,0.975,6,-6.547,1,0.0509,0.000255,0.0456,0.265,0.343,137.991,382717,4,0
135,0.505,0.938,7,-8.561,1,0.0667,0.00621,0.0158,0.346,0.235,138.014,236750,4,0
136,0.564,0.934,11,-7.511,0,0.0541,0.00121,0.248,0.358,0.0713,137.929,330435,4,0
137,0.384,0.879,0,-4.756,1,0.0521,0.00972,7.7e-05,0.665,0.344,138.099,233384,4,0
138,0.625,0.87,0,-5.581,1,0.166,0.189,2.93e-05,0.432,0.293,128.035,236250,4,0
139,0.574,0.924,2,-5.976,1,0.0476,0.0013,0.56,0.0596,0.456,138.013,426122,4,0
140,0.513,0.979,2,-6.721,1,0.0812,0.000533,0.154,0.234,0.0681,137.981,230500,4,0
141,0.428,0.995,1,-3.573,1,0.066,4.42e-05,0.119,0.205,0.245,140.012,227571,4,0
142,0.65,0.938,2,-5.045,0,0.0475,0.0107,0.000709,0.0677,0.301,138.029,234500,4,0
143,0.491,0.947,6,-7.785,1,0.0377,0.000752,0.265,0.566,0.129,137.965,202653,4,0
144,0.454,0.963,9,-2.997,0,0.0683,0.0193,2.26e-05,0.262,0.0865,130.029,243000,4,0
145,0.555,0.918,2,-5.59,1,0.0414,0.00511,0.225,0.317,0.41,138.026,219753,4,0
146,0.541,0.837,0,-4.143,1,0.0434,0.169,3.04e-06,0.137,0.133,130.029,192000,4,0
147,0.468,0.671,8,-7.37,1,0.0471,0.00108,0.258,0.174,0.0461,134.01,489903,4,0
148,0.504,0.936,6,-5.537,1,0.0494,0.000142,0.697,0.406,0.214,132.004,222727,4,0
149,0.274,0.934,4,-6.423,1,0.0531,0.0135,0.94,0.387,0.0997,138.003,161739,4,0
150,0.433,0.952,9,-6.126,0,0.0571,0.00132,0.134,0.208,0.0374,135.997,393885,4,0
151,0.63,0.756,1,-7.351,0,0.04,0.00947,4.88e-05,0.126,0.35,128.011,253515,4,0
152,0.489,0.863,2,-5.092,1,0.05,0.0249,2.1e-05,0.403,0.0375,133.974,400080,4,0
153,0.687,0.779,6,-5.289,1,0.0287,0.000417,0.182,0.0758,0.264,129.989,395166,4,0
154,0.539,0.78,9,-5.988,1,0.0654,0.0012,0.192,0.486,0.118,129.939,219693,4,0
155,0.501,0.99,8,-3.833,1,0.171,0.000625,0.404,0.346,0.225,138.099,193587,4,0
156,0.51,0.968,3,-4.35,0,0.0407,0.000127,0.711,0.25,0.367,131.996,370905,4,0
157,0.461,0.988,7,-6.356,1,0.0761,0.000175,0.476,0.958,0.165,137.955,205215,4,0
158,0.519,0.986,9,-4.813,1,0.201,0.000276,0.618,0.869,0.143,137.994,450000,4,0
159,0.693,0.874,9,-5.262,1,0.0553,6.53e-05,0.00964,0.0676,0.229,132.022,343000,4,0
160,0.51,0.993,4,-4.936,1,0.093,0.000369,0.00728,0.371,0.251,138.005,245326,4,0
161,0.477,0.911,1,-6.927,1,0.0311,0.00914,0.0903,0.112,0.368,138.003,216503,4,0
